City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-tsilma,65.441,52.1498,17.22,95,96,5.79,RU,1678555180
1,jamestown,42.097,-79.2353,31.64,87,100,8.05,US,1678555181
2,hanstholm,57.1167,8.6167,35.17,56,59,27.27,DK,1678555181
3,severo-kurilsk,50.6789,156.125,29.82,88,99,6.67,RU,1678555182
4,atuona,-9.8,-139.0333,79.48,76,18,8.16,PF,1678555184
5,cabo san lucas,22.8909,-109.9124,87.1,41,0,3.44,MX,1678555185
6,busselton,-33.65,115.3333,62.67,71,15,5.86,AU,1678555186
7,sitka,57.0531,-135.33,31.89,34,0,14.97,US,1678554712
8,barrow,71.2906,-156.7887,-12.98,77,0,8.05,US,1678554902
9,kununurra,-15.7667,128.7333,69.78,88,6,0.0,AU,1678555188
10,matamoros,25.5333,-103.25,80.11,29,0,6.91,MX,1678555189
11,broome,42.2506,-75.833,33.01,77,100,11.5,US,1678555190
12,lamar,33.6668,-95.5836,63.36,100,100,11.5,US,1678555191
13,mgandu,-5.95,34.1333,62.56,95,100,5.99,TZ,1678555192
14,lebu,-37.6167,-73.65,63.14,78,96,18.59,CL,1678555193
15,beidao,34.5686,105.8933,39.13,19,64,5.68,CN,1678555194
16,rikitea,-23.1203,-134.9692,78.04,82,98,26.96,PF,1678555195
17,butaritari,3.0707,172.7902,81.09,78,32,14.5,KI,1678555196
18,kanniyakumari,8.0833,77.5667,80.37,76,87,11.16,IN,1678555197
19,maine-soroa,13.2114,12.0241,90.07,7,99,10.83,NE,1678555198
20,beringovskiy,63.05,179.3167,10.18,92,100,10.56,RU,1678555199
21,nanortalik,60.1432,-45.2371,33.12,66,62,2.57,GL,1678555200
22,dikson,73.5069,80.5464,3.29,90,100,11.72,RU,1678555201
23,ancud,-41.8697,-73.8203,65.19,76,92,21.09,CL,1678555067
24,ushuaia,-54.8,-68.3,49.66,43,20,16.11,AR,1678555204
25,punta arenas,-53.15,-70.9167,55.51,35,0,18.41,CL,1678555075
26,avarua,-21.2078,-159.775,78.85,89,75,9.22,CK,1678555207
27,mukhen,48.1,136.1,27.14,92,95,5.1,RU,1678555208
28,touros,-5.1989,-35.4608,86.14,63,60,13.31,BR,1678555210
29,havoysund,70.9963,24.6622,23.23,88,86,26.37,NO,1678555211
30,komsomolskiy,40.4272,71.7189,57.92,67,77,4.61,UZ,1678555212
31,artyom,40.4723,50.333,48.34,88,0,17.49,AZ,1678555214
32,yellowknife,62.456,-114.3525,-4.49,91,42,9.6,CA,1678554916
33,mataura,-46.1927,168.8643,50.58,80,59,4.05,NZ,1678555216
34,zaozerne,45.1582,33.2787,51.31,84,100,16.8,UA,1678555217
35,east london,-33.0153,27.9116,68.94,77,0,21.85,ZA,1678555114
36,cape town,-33.9258,18.4232,65.12,65,20,16.11,ZA,1678555209
37,rosarito,32.3333,-117.0333,61.72,96,100,5.79,MX,1678555220
38,bethel,41.3712,-73.414,42.89,73,100,10.36,US,1678554909
39,batemans bay,-35.7167,150.1833,65.1,89,62,3.13,AU,1678555223
40,mbanza-ngungu,-5.25,14.8667,72.43,92,83,4.41,CD,1678555224
41,qaanaaq,77.484,-69.3632,1.31,71,0,6.33,GL,1678555225
42,albany,42.6001,-73.9662,37.33,85,100,1.99,US,1678554880
43,rafai,4.95,23.9167,86.88,39,85,4.94,CF,1678555228
44,vardo,70.3705,31.1107,15.78,67,7,27.63,NO,1678555229
45,hobart,-42.8794,147.3294,53.28,84,22,3.44,AU,1678555162
46,carnarvon,-24.8667,113.6333,75.52,76,0,23.89,AU,1678555231
47,cidreira,-30.1811,-50.2056,80.74,71,52,12.12,BR,1678555233
48,kodiak,57.79,-152.4072,36.91,30,0,6.91,US,1678555234
49,cherskiy,68.75,161.3,-19.05,94,9,8.77,RU,1678555235
50,hithadhoo,-0.6,73.0833,82.42,69,36,7.58,MV,1678555237
51,savannah bight,16.45,-85.85,78.19,70,1,11.3,HN,1678555238
52,roblin,51.23,-101.3565,15.4,90,100,19.19,CA,1678555239
53,arraial do cabo,-22.9661,-42.0278,93.16,54,20,17.27,BR,1678555240
54,hermanus,-34.4187,19.2345,62.8,60,73,7.14,ZA,1678555241
55,maniitsoq,65.4167,-52.9,22.26,66,1,2.21,GL,1678555242
56,necochea,-38.5473,-58.7368,89.96,44,31,6.82,AR,1678555243
57,namioka,40.7072,140.5894,32.32,82,49,3.24,JP,1678555244
58,norman wells,65.282,-126.8329,-16.56,76,20,0.0,CA,1678555246
59,hobyo,5.3505,48.5268,81.03,78,90,14.03,SO,1678555247
60,bluff,-46.6,168.3333,56.46,76,99,15.03,NZ,1678555248
61,araouane,18.9048,-3.5265,100.96,6,0,2.46,ML,1678555249
62,bredasdorp,-34.5322,20.0403,62.47,56,75,9.15,ZA,1678555250
63,fortuna,40.5982,-124.1573,45.93,93,75,5.75,US,1678555251
64,geraldton,-28.7667,114.6,64.81,94,2,4.61,AU,1678555253
65,rocha,-34.4833,-54.3333,100.15,27,22,6.15,UY,1678555253
66,coxim,-18.5067,-54.76,83.46,73,87,7.14,BR,1678555254
67,llano largo,7.9,-80.4333,83.95,56,100,11.03,PA,1678555255
68,meulaboh,4.1363,96.1285,76.82,88,91,5.3,ID,1678555256
69,puerto ayora,-0.7393,-90.3518,87.76,83,50,11.99,EC,1678555257
70,tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,11.5,CA,1678555258
71,evensk,61.95,159.2333,-11.92,81,16,6.22,RU,1678555259
72,chuy,-33.6971,-53.4616,90.23,43,7,8.7,UY,1678555260
73,gourcy,13.2167,-2.35,100.06,13,97,11.79,BF,1678555261
74,jardim,-21.4803,-56.1381,87.15,59,4,2.42,BR,1678555238
75,hasaki,35.7333,140.8333,48.22,55,0,5.06,JP,1678555263
76,medicine hat,50.0501,-110.6683,19.85,86,100,5.75,CA,1678555264
77,labuhan,-6.8844,112.2051,76.98,87,29,7.47,ID,1678555265
78,tasiilaq,65.6145,-37.6368,15.96,72,0,3.47,GL,1678555266
79,hamilton,39.1834,-84.5333,44.6,61,75,3.44,US,1678555012
80,bambous virieux,-20.3428,57.7575,79.21,83,75,5.75,MU,1678555269
81,esperance,-33.8667,121.9,62.19,91,14,9.84,AU,1678555271
